age_yrs,age_mos,account_0,account_1,account_2,account_3,account_4,account_5,account_6,account_7,account_8,account_9,account_10,account_11,account_12,account_13,account_14,account_15,account_16,account_17,account_18,account_19,account_20,account_21,account_22,account_23,account_24,account_25,account_26,account_27,account_28,account_29,account_30,account_31,account_32,account_33,account_34,account_35,account_36,account_37,account_38,account_39,account_40,account_41,account_42,account_43,account_44,account_45,account_46,account_47,account_48,account_49,account_50,account_51,account_52,account_53,account_54,account_55,account_56,account_57,account_58,account_59,account_60,account_61,account_62,account_63,account_64,account_65,account_66,account_67,account_68,account_69,account_70,account_71,account_72,account_73,account_74,account_75,account_76,account_77,account_78,account_79,account_80,account_81,account_82,account_83,account_84,account_85,account_86,account_87,account_88,account_89,account_90,account_91,account_92,account_93,account_94,account_95,account_96,account_97,account_98,account_99,account_100,avg,account_type
25,0,46390.823732,49443.12,47144.2,47295.09,44478.9,46347.7,42783.56,49186.24,46792.26,46384.53,48257.43,48031.41,44125.6,45254.92,43970.43,45926.01,48449.43,44926.54,46052.31,47853.84,47042.83,48130.76,45960.01,46945.51,47007.44,48409.47,44706.24,45885.36,44439.26,45860.28,45996.89,47336.02,46483.87,45650.65,48538.94,45852.11,46433.05,47255.31,47311.01,45008.19,47099.33,46310.48,46658.87,49076.62,46232.24,42588.77,46443.31,49509.47,48162.47,46717.87,47746.04,45366.59,46310.37,47076.57,48419.79,45687.1,46991.08,45959.91,44957.78,46129.65,46251.24,45816.48,46765.13,48660.83,46862.5,46691.16,45458.58,42823.02,45818.59,49462.44,45494.86,44732.9,45991.56,43947.74,48130.02,45500.03,45641.92,46267.65,43895.94,44014.31,45119.54,48095.34,44651.96,45271.83,47824.61,46945.89,47157.89,47848.66,47668.35,47339.91,47103.79,44923.93,45312.35,44244.82,42408.38,47616.88,45179.18,46686.58,44884.18,45229.43,45488.3,46317.03518546534,savings
25,0,26441.744787,25890.06,26605.85,26383.45,26268.77,26443.03,25943.96,26363.47,26505.93,27286.79,26221.32,25712.19,26729.64,26539.93,26111.43,26133.39,26082.06,25843.6,25782.4,26443.49,26882.38,26701.51,25766.99,26508.81,26962.26,26781.55,27107.16,26265.45,26001.63,26548.74,26397.19,27065.51,26149.48,26523.37,26352.36,26197.58,25549.22,26751.02,26020.01,26107.25,26439.36,25832.78,26284.38,26368.38,26836.99,26207.82,26154.35,26477.03,27099.14,26253.43,26568.34,26388.57,26981.25,26550.34,26638.91,26139.39,26486.92,26759.65,26379.34,26447.72,25450.38,26653.01,27028.48,26685.51,26971.14,25833.17,26620.44,26150.58,26217.9,25714.66,26688.59,26601.88,26506.12,26763.68,25930.35,26023.33,26727.47,27032.36,26486.17,26653.97,26375.11,25978.32,26397.23,26479.83,26581.11,26224.18,26824.82,26386.08,26365.26,26790.9,27305.07,25964.9,26607.44,26434.02,26530.77,26539.28,26177.02,26521.35,25964.62,25979.28,26272.12,26406.96994838613,retirement
25,0,72832.568519,75333.18000000001,73750.04999999999,73678.54,70747.67,72790.73,68727.51999999999,75549.70999999999,73298.19,73671.32,74478.75,73743.6,70855.23999999999,71794.85,70081.86,72059.4,74531.49,70770.14,71834.70999999999,74297.33,73925.21,74832.27,71727.0,73454.32,73969.7,75191.02,71813.4,72150.81,70440.89,72409.02,72394.08,74401.53,72633.35,72174.02,74891.3,72049.69,71982.27,74006.33,73331.02,71115.44,73538.69,72143.26000000001,72943.25,75445.0,73069.23,68796.59,72597.66,75986.5,75261.61,72971.3,74314.38,71755.16,73291.62,73626.91,75058.7,71826.48999999999,73478.0,72719.56,71337.12,72577.37,71701.62,72469.49,73793.61,75346.34,73833.64,72524.33,72079.02,68973.6,72036.48999999999,75177.1,72183.45,71334.78,72497.68,70711.42,74060.37,71523.36,72369.39,73300.01000000001,70382.11,70668.28,71494.65,74073.66,71049.19,71751.66,74405.72,73170.07,73982.70999999999,74234.74,74033.61,74130.81,74408.86,70888.83,71919.79,70678.84,68939.15,74156.16,71356.2,73207.93,70848.8,71208.70999999999,71760.42,72724.00513385147,total
26,0,59116.140586,58827.24,60548.65,62738.75,59628.07,58480.94,55020.72,63341.08,62656.78,58413.8,61173.75,62309.93,58628.6,60097.71,58453.03,57171.89,61603.35,57324.92,57055.85,57597.97,61601.36,63007.56,58104.04,56852.94,59745.28,58749.05,53987.29,58275.58,53567.22,57636.23,55909.93,61910.14,58269.69,57740.01,58910.51,59257.51,60537.0,61831.9,57626.31,56853.73,62617.9,63290.43,58582.46,63980.7,56435.46,54708.25,57923.61,62481.3,60132.65,57566.81,57409.78,59055.11,61758.55,59859.53,58011.81,57424.25,59734.66,61386.19,57990.29,58207.29,61576.92,62017.76,57326.41,60294.41,59286.25,63080.02,55524.07,54532.59,58308.0,59526.05,56771.7,57901.51,59766.08,58996.98,61227.86,58090.81,60714.97,55575.67,56224.28,55177.32,54921.33,61634.34,60605.22,58176.96,57106.13,59149.99,59054.82,61635.36,63159.91,61038.21,57459.49,57886.12,57646.08,56227.03,53042.15,61071.16,59390.15,58676.47,55540.16,56531.83,57213.93,58893.128520653474,savings
26,0,34954.905306,34097.37,35812.69,35272.88,34835.52,35197.85,35003.04,35613.15,35654.1,35691.99,34373.86,33972.13,35274.09,35027.74,34722.65,34474.88,34154.68,33912.12,33939.22,35963.87,34449.22,35456.34,33913.26,35256.43,35030.82,35684.25,35908.59,33687.24,34437.5,34506.15,35072.12,35374.27,34919.14,34921.05,35127.3,34349.84,33458.72,35492.59,34596.74,33771.07,35363.86,34673.3,33693.38,35495.11,36303.18,35211.57,34033.2,34999.08,37489.12,35421.44,34843.24,34804.21,35338.9,36187.85,34561.27,35152.75,33825.37,36721.01,34497.65,35398.38,33642.02,34804.87,35305.56,36200.35,35631.59,34609.31,35105.49,35712.86,34193.51,33835.24,34604.95,34885.86,34900.61,34655.46,34440.31,35291.74,35204.75,35190.31,34713.18,35072.87,34692.27,35692.03,35005.15,34975.11,34078.04,34031.61,34726.6,34579.88,33818.3,35331.17,36686.25,33994.33,34932.19,34217.21,33803.06,35070.5,34113.52,35190.88,34348.33,34832.96,34676.73,34892.7941119406,retirement
26,0,94071.045892,92924.61,96361.34,98011.63,94463.59,93678.79000000001,90023.76000000001,98954.23000000001,98310.88,94105.79000000001,95547.61,96282.06,93902.69,95125.45,93175.68,91646.76999999999,95758.03,91237.04000000001,90995.07,93561.84,96050.58,98463.9,92017.3,92109.37,94776.1,94433.3,89895.88,91962.82,88004.72,92142.38,90982.05,97284.41,93188.83,92661.06,94037.81,93607.35,93995.72,97324.48999999999,92223.04999999999,90624.8,97981.76000000001,97963.73000000001,92275.84,99475.81,92738.64,89919.82,91956.81,97480.38,97621.77,92988.25,92253.01999999999,93859.32,97097.45000000001,96047.38,92573.07999999999,92577.0,93560.03,98107.20000000001,92487.94,93605.67,95218.94,96822.63,92631.97,96494.76000000001,94917.84,97689.32999999999,90629.56,90245.45,92501.51000000001,93361.29000000001,91376.65,92787.37,94666.69,93652.44,95668.17,93382.54999999999,95919.72,90765.98,90937.45999999999,90250.19,89613.6,97326.37,95610.37,93152.07,91184.17,93181.6,93781.42,96215.23999999999,96978.21,96369.38,94145.73999999999,91880.45000000001,92578.27,90444.23999999999,86845.20999999999,96141.66,93503.67,93867.35,89888.49,91364.79000000001,91890.66,93785.92263259407,total
27,0,72152.699025,72133.95,73786.35,74016.3,73467.31,72710.62,66917.06,72486.73,74235.01,73073.14,74574.27,77174.89,72003.87,74398.69,73120.97,68994.78,73908.69,68626.28,70220.72,69951.42,73712.17,74510.74,70787.81,71950.07,71693.85,70405.46,67079.3,71385.32,63306.49,70329.57,67170.92,75444.37,71864.12,71108.59,71629.04,72283.16,74846.01,71911.26,68386.23,68791.68,72995.39,78542.16,69716.69,78378.75,71398.27,66705.2,70512.49,78687.32,73653.71,73015.67,69297.34,73963.41,78325.28,71990.95,70301.06,71362.92,74490.37,74112.14,73553.25,70966.86,75975.6,75734.18,73710.83,77042.45,70310.92,78899.72,73238.06,68350.26,71483.18,70955.56,67653.39,70122.93,72493.05,72612.25,76449.73,71625.0,71740.69,68252.18,68155.96,65235.28,68389.62,74696.06,74271.61,72994.84,70815.35,69949.7,69487.6,73588.03,75871.27,74626.99,73210.59,68471.68,73915.14,69733.32,64770.85,74799.36,71101.32,72223.08,67021.0,68847.12,70039.59,71954.30177252473,savings
27,0,45034.466092,43440.24,47186.09,46886.27,44359.29,45452.21,43611.32,46094.71,45466.45,43853.68,43138.43,43968.31,44846.49,44217.78,44357.41,44580.22,44872.54,44054.16,44764.67,46541.17,44740.0,46428.59,44329.98,44813.73,44910.44,46227.01,46058.36,43524.77,44286.65,44972.58,44425.32,45944.37,44791.11,45412.24,45574.44,45654.58,44135.14,46510.75,44985.13,43571.7,45510.38,44562.91,42552.96,44573.82,46086.95,45679.07,43613.22,44165.29,48080.81,45067.2,44771.07,44316.38,44850.46,47241.64,44551.22,45494.21,43985.68,47551.5,44800.19,46000.37,43819.15,43972.12,45292.28,46337.18,45643.15,43588.12,45029.48,46266.34,45328.51,42599.02,45127.61,44731.42,45196.3,46083.38,45092.65,45607.84,45386.98,44558.69,44741.08,43882.83,43813.61,44631.86,45357.05,44019.97,44176.78,44024.44,44202.23,44228.2,43050.51,46138.79,47029.15,43362.33,45561.57,45009.57,44560.41,45314.24,44236.08,44923.05,44560.18,44595.03,45132.88,44927.62560487128,retirement
27,0,117187.165117,115574.19,120972.44,120902.57,117826.6,118162.82999999999,110528.38,118581.44,119701.45999999999,116926.82,117712.70000000001,121143.2,116850.35999999999,118616.47,117478.38,113575.0,118781.23000000001,112680.44,114985.39,116492.59,118452.17,120939.33,115117.79000000001,116763.80000000002,116604.29000000001,116632.47,113137.66,114910.09,107593.14,115302.15000000001,111596.23999999999,121388.73999999999,116655.23,116520.82999999999,117203.48,117937.74,118981.15,118422.01,113371.35999999999,112363.37999999999,118505.76999999999,123105.07,112269.65,122952.57,117485.22,112384.26999999999,114125.71,122852.61000000002,121734.52,118082.87,114068.41,118279.79000000001,123175.73999999999,119232.59,114852.28,116857.13,118476.04999999999,121663.64,118353.44,116967.23000000001,119794.75,119706.29999999999,119003.11,123379.63,115954.07,122487.84,118267.54000000001,114616.59999999999,116811.69,113554.57999999999,112781.0,114854.34999999999,117689.35,118695.63,121542.38,117232.84,117127.67000000001,112810.87,112897.04000000001,109118.11,112203.23,119327.92,119628.66,117014.81,114992.13,113974.14,113689.83000000002,117816.23,118921.78,120765.78,120239.73999999999,111834.01,119476.70999999999,114742.89000000001,109331.26000000001,120113.6,115337.40000000001,117146.13,111581.18,113442.15,115172.47,116881.92737739602,total
28,0,85506.371962,85874.33,91459.01,83792.16,88028.41,85997.35,80210.43,88289.32,86096.03,87571.35,89962.17,85358.29,85070.33,86921.08,87957.33,80538.3,89760.6,79225.08,82903.59,83340.45,86064.36,83460.67,85471.36,83119.86,85337.42,82777.46,80832.8,84428.73,74002.27,85027.98,78334.53,90417.1,83362.46,83679.96,85083.46,86084.79,87118.19,85564.78,82065.2,80377.23,84979.13,93565.08,83145.98,90026.6,87347.19,80585.47,77629.62,95258.74,84302.85,85617.99,79626.51,84085.81,95494.85,87207.72,81300.97,82895.47,85318.96,88108.12,90557.0,81110.75,88441.36,90063.02,89042.02,89247.77,83309.81,93590.78,88658.16,79869.63,85050.82,81228.81,81558.78,81733.39,86828.02,83517.12,89652.18,86083.73,89202.55,76565.51,81818.33,81259.33,82497.33,86837.59,87543.52,86912.81,85710.45,85413.95,85118.76,83742.93,89403.31,88201.68,84027.94,83097.75,88091.69,82178.01,78999.81,90204.57,84926.1,89538.02,79517.05,80422.88,81148.65,85097.95368279205,savings
