age_band,month,healthcare_cost
0-18,2024-02-01,470.27704375696396
0-18,2050-07-01,1430.0929326434177
0-18,2148-08-01,88868.97652862773
0-18,2119-05-01,25937.86091369021
0-18,2050-06-01,1425.0843410741343
0-18,2148-09-01,89181.31481891916
0-18,2079-10-01,4899.821758152951
0-18,2050-05-01,1420.093291014871
0-18,2148-10-01,89494.75085120545
0-18,2119-04-01,25847.01915891179
0-18,2079-11-01,4917.042637817083
0-18,2050-04-01,1415.1197210302787
0-18,2148-11-01,89809.28848360312
0-18,2119-03-01,25756.49555775593
0-18,2079-12-01,4934.324041865782
0-18,2050-03-01,1410.1635699001718
0-18,2148-12-01,90124.93158778832
0-18,2119-02-01,25666.288995958283
0-18,2050-02-01,1405.2247766187745
0-18,2149-01-01,90441.68404904446
0-18,2080-01-01,4951.6661830176345
0-18,2050-01-01,1400.3032803939723
0-18,2149-02-01,90759.54976631027
0-18,2119-01-01,25576.39836315701
0-18,2080-02-01,4969.069274738842
0-18,2049-12-01,1395.3990206465605
0-18,2149-03-01,91078.5326522277
0-18,2118-12-01,25486.822552879043
0-18,2080-03-01,4986.53353124585
0-18,2049-11-01,1390.5119370095006
0-18,2079-09-01,4882.661190899804
0-18,2149-04-01,91398.63663318983
0-18,2119-06-01,26029.021940271734
0-18,2050-08-01,1435.1191273739912
0-18,2079-02-01,4764.2083171033955
0-18,2051-04-01,1475.9698690345806
0-18,2147-11-01,86106.70036778823
0-18,2119-12-01,26582.75592265284
0-18,2079-03-01,4780.952570705514
0-18,2051-03-01,1470.800603405879
0-18,2147-12-01,86409.33038138862
0-18,2119-11-01,26489.65556241511
0-18,2051-02-01,1465.6494420133815
0-18,2148-01-01,86713.02401634178
0-18,2079-04-01,4797.75567354554
0-18,2051-01-01,1460.516321450913
0-18,2148-02-01,87017.78501084399
0-18,2119-10-01,26396.881266077675
0-18,2079-05-01,4814.617832454598
0-18,2050-12-01,1455.4011785343628
0-18,2148-03-01,87323.61711622983
0-18,2119-09-01,26304.431891672153
0-18,2079-06-01,4831.539254990738
0-18,2050-11-01,1450.303950300909
0-18,2148-04-01,87630.52409701806
0-18,2119-08-01,26212.306301229644
0-18,2050-10-01,1445.2245740082446
0-18,2148-05-01,87938.50973095841
0-18,2079-07-01,4848.520149441498
0-18,2050-09-01,1440.1629871338039
0-18,2148-06-01,88247.57780907785
0-18,2119-07-01,26120.503360766794
0-18,2079-08-01,4865.560724826453
0-18,2148-07-01,88557.73213572707
0-18,2118-11-01,25397.56046252647
0-18,2049-10-01,1385.6419693271764
0-18,2149-05-01,91719.86564938963
0-18,2150-03-01,94994.90955627349
0-18,2118-03-01,24694.626613380566
0-18,2080-12-01,5146.49997566601
0-18,2048-11-01,1333.1849827511992
0-18,2150-04-01,95328.77800841698
0-18,2118-02-01,24608.139018176687
0-18,2048-10-01,1328.515790342451
0-18,2150-05-01,95663.81987231337
0-18,2081-01-01,5164.587828887392
0-18,2048-09-01,1323.8629507714802
0-18,2150-06-01,96000.03927202751
0-18,2118-01-01,24521.95432709206
0-18,2081-02-01,5182.7392535526105
0-18,2048-08-01,1319.2264067660046
0-18,2150-07-01,96337.44034611854
0-18,2117-12-01,24436.071479270413
0-18,2081-03-01,5200.954473089422
0-18,2048-07-01,1314.6061012543266
0-18,2150-08-01,96676.02724769112
0-18,2117-11-01,24350.489417570923
0-18,2048-06-01,1310.001977364629
0-18,2150-09-01,97015.80414444636
0-18,2081-04-01,5219.233711710842
0-18,2048-05-01,1305.413978424277
0-18,2150-10-01,97356.77521873299
0-18,2117-10-01,24265.207088555195
0-18,2081-05-01,5237.577194417902
0-18,2048-04-01,1300.8420479591184
0-18,2150-11-01,97698.94466759916
0-18,2048-12-01,1337.870585471295
0-18,2080-11-01,5128.475471243217
0-18,2118-04-01,24781.41817728839
0-18,2150-02-01,94662.21040626161
0-18,2080-04-01,5004.059167507998
0-18,2049-09-01,1380.7890576546538
0-18,2149-06-01,92042.22365486818
0-18,2118-10-01,25308.610993363065
0-18,2080-05-01,5021.646399250146
0-18,2049-08-01,1375.9531422569428
0-18,2149-07-01,92365.71461756334
0-18,2118-09-01,25219.97305050063
0-18,2080-06-01,5039.29544295534
0-18,2049-07-01,1371.1341636082625
0-18,2149-08-01,92690.3425193587
0-18,2118-08-01,25131.645542885566
0-18,2049-06-01,1366.3320623913082
0-18,2149-09-01,93016.11135613266
0-18,2120-01-01,26676.18349277276
0-18,2080-07-01,5057.0065158674815
0-18,2149-10-01,93343.02513780729
0-18,2118-07-01,25043.62738328552
0-18,2080-08-01,5074.779835993991
0-18,2049-04-01,1356.7782560213602
0-18,2149-11-01,93671.08788839805
0-18,2118-06-01,24955.91748827587
0-18,2080-09-01,5092.615622108496
