cost_type,age_band,month,medicare_cost
part_b_premium,65-84,2024-02-01,175.15917046669963
part_b_premium,65-84,2024-03-01,175.61954778810727
part_b_premium,65-84,2024-04-01,176.08113513624377
part_b_premium,65-84,2024-05-01,176.5439356914671
part_b_premium,65-84,2024-06-01,177.00795264249427
part_b_premium,65-84,2024-07-01,177.4731891864233
part_b_premium,65-84,2024-08-01,177.9396485287553
part_b_premium,65-84,2024-09-01,178.40733388341658
part_b_premium,65-84,2024-10-01,178.87624847278056
part_b_premium,65-84,2024-11-01,179.3463955276903
part_b_premium,65-84,2024-12-01,179.8177782874805
part_b_premium,65-84,2025-01-01,180.2904
part_b_premium,65-84,2025-02-01,180.76426392163404
part_b_premium,65-84,2025-03-01,181.23937331732674
part_b_premium,65-84,2025-04-01,181.7157314606036
part_b_premium,65-84,2025-05-01,182.19334163359406
part_b_premium,65-84,2025-06-01,182.6722071270541
part_b_premium,65-84,2025-07-01,183.15233124038886
part_b_premium,65-84,2025-08-01,183.6337172816755
part_b_premium,65-84,2025-09-01,184.11636856768592
part_b_premium,65-84,2025-10-01,184.60028842390955
part_b_premium,65-84,2025-11-01,185.0854801845764
part_b_premium,65-84,2025-12-01,185.5719471926799
part_b_premium,65-84,2026-01-01,186.0596928
part_b_premium,65-84,2026-02-01,186.54872036712632
part_b_premium,65-84,2026-03-01,187.0390332634812
part_b_premium,65-84,2026-04-01,187.5306348673429
part_b_premium,65-84,2026-05-01,188.02352856586907
part_b_premium,65-84,2026-06-01,188.5177177551198
part_b_premium,65-84,2026-07-01,189.01320584008133
part_b_premium,65-84,2026-08-01,189.50999623468914
part_b_premium,65-84,2026-09-01,190.00809236185185
part_b_premium,65-84,2026-10-01,190.50749765347464
part_b_premium,65-84,2026-11-01,191.00821555048282
part_b_premium,65-84,2026-12-01,191.51024950284562
part_b_premium,65-84,2027-01-01,192.01360296960002
part_b_premium,65-84,2027-02-01,192.51827941887439
part_b_premium,65-84,2027-03-01,193.02428232791257
part_b_premium,65-84,2027-04-01,193.53161518309793
part_b_premium,65-84,2027-05-01,194.0402814799769
part_b_premium,65-84,2027-06-01,194.55028472328365
part_b_premium,65-84,2027-07-01,195.0616284269639
part_b_premium,65-84,2027-08-01,195.5743161141992
part_b_premium,65-84,2027-09-01,196.08835131743112
part_b_premium,65-84,2027-10-01,196.60373757838585
part_b_premium,65-84,2027-11-01,197.12047844809828
part_b_premium,65-84,2027-12-01,197.6385774869367
part_b_premium,65-84,2028-01-01,198.1580382646272
part_b_premium,65-84,2028-02-01,198.67886436027834
part_b_premium,65-84,2028-03-01,199.2010593624058
part_b_premium,65-84,2028-04-01,199.72462686895705
part_b_premium,65-84,2028-05-01,200.24957048733614
part_b_premium,65-84,2028-06-01,200.77589383442876
part_b_premium,65-84,2028-07-01,201.30360053662676
part_b_premium,65-84,2028-08-01,201.8326942298536
part_b_premium,65-84,2028-09-01,202.36317855958893
part_b_premium,65-84,2028-10-01,202.89505718089418
part_b_premium,65-84,2028-11-01,203.42833375843745
part_b_premium,65-84,2028-12-01,203.96301196651868
part_b_premium,65-84,2029-01-01,204.4990954890953
part_b_premium,65-84,2029-02-01,205.03658801980728
part_b_premium,65-84,2029-03-01,205.5754932620028
part_b_premium,65-84,2029-04-01,206.11581492876368
part_b_premium,65-84,2029-05-01,206.65755674293092
part_b_premium,65-84,2029-06-01,207.20072243713048
part_b_premium,65-84,2029-07-01,207.7453157537988
part_b_premium,65-84,2029-08-01,208.29134044520887
part_b_premium,65-84,2029-09-01,208.8388002734958
part_b_premium,65-84,2029-10-01,209.3876990106828
part_b_premium,65-84,2029-11-01,209.93804043870742
part_b_premium,65-84,2029-12-01,210.48982834944727
part_b_premium,65-84,2030-01-01,211.04306654474635
part_b_premium,65-84,2030-02-01,211.59775883644113
part_b_premium,65-84,2030-03-01,212.1539090463869
part_b_premium,65-84,2030-04-01,212.71152100648413
part_b_premium,65-84,2030-05-01,213.2705985587047
part_b_premium,65-84,2030-06-01,213.83114555511864
part_b_premium,65-84,2030-07-01,214.3931658579204
part_b_premium,65-84,2030-08-01,214.95666333945556
part_b_premium,65-84,2030-09-01,215.52164188224765
part_b_premium,65-84,2030-10-01,216.08810537902468
part_b_premium,65-84,2030-11-01,216.6560577327461
part_b_premium,65-84,2030-12-01,217.22550285662962
part_b_premium,65-84,2031-01-01,217.79644467417822
part_b_premium,65-84,2031-02-01,218.36888711920724
part_b_premium,65-84,2031-03-01,218.94283413587127
part_b_premium,65-84,2031-04-01,219.5182896786916
part_b_premium,65-84,2031-05-01,220.09525771258328
part_b_premium,65-84,2031-06-01,220.67374221288244
part_b_premium,65-84,2031-07-01,221.25374716537382
part_b_premium,65-84,2031-08-01,221.83527656631816
part_b_premium,65-84,2031-09-01,222.41833442247957
part_b_premium,65-84,2031-10-01,223.00292475115347
part_b_premium,65-84,2031-11-01,223.589051580194
part_b_premium,65-84,2031-12-01,224.17671894804175
part_b_premium,65-84,2032-01-01,224.76593090375195
part_b_premium,65-84,2032-02-01,225.35669150702188
part_b_premium,65-84,2032-03-01,225.9490048282192
part_b_premium,65-84,2032-04-01,226.54287494840975
part_b_premium,65-84,2032-05-01,227.13830595938595
part_b_premium,65-84,2032-06-01,227.7353019636947
part_b_premium,65-84,2032-07-01,228.33386707466582
part_b_premium,65-84,2032-08-01,228.93400541644036
part_b_premium,65-84,2032-09-01,229.53572112399894
part_b_premium,65-84,2032-10-01,230.13901834319037
part_b_premium,65-84,2032-11-01,230.74390123076017
part_b_premium,65-84,2032-12-01,231.3503739543791
part_b_premium,65-84,2033-01-01,231.95844069267199
part_b_premium,65-84,2033-02-01,232.56810563524655
part_b_premium,65-84,2033-03-01,233.17937298272219
part_b_premium,65-84,2033-04-01,233.79224694675887
part_b_premium,65-84,2033-05-01,234.4067317500863
part_b_premium,65-84,2033-06-01,235.0228316265329
part_b_premium,65-84,2033-07-01,235.64055082105514
part_b_premium,65-84,2033-08-01,236.25989358976645
part_b_premium,65-84,2033-09-01,236.8808641999669
part_b_premium,65-84,2033-10-01,237.50346693017246
part_b_premium,65-84,2033-11-01,238.1277060701445
part_b_premium,65-84,2033-12-01,238.75358592091922
part_b_premium,65-84,2034-01-01,239.3811107948375
part_b_premium,65-84,2034-02-01,240.01028501557448
part_b_premium,65-84,2034-03-01,240.64111291816928
part_b_premium,65-84,2034-04-01,241.27359884905516
part_b_premium,65-84,2034-05-01,241.90774716608905
part_b_premium,65-84,2034-06-01,242.54356223858198
part_b_premium,65-84,2034-07-01,243.18104844732892
part_b_premium,65-84,2034-08-01,243.820210184639
part_b_premium,65-84,2034-09-01,244.46105185436585
part_b_premium,65-84,2034-10-01,245.103577871938
part_b_premium,65-84,2034-11-01,245.74779266438915
part_b_premium,65-84,2034-12-01,246.39370067038865
part_b_premium,65-84,2035-01-01,247.04130634027234
part_b_premium,65-84,2035-02-01,247.6906141360729
part_b_premium,65-84,2035-03-01,248.34162853155073
part_b_premium,65-84,2035-04-01,248.99435401222493
part_b_premium,65-84,2035-05-01,249.64879507540394
part_b_premium,65-84,2035-06-01,250.30495623021662
part_b_premium,65-84,2035-07-01,250.96284199764344
part_b_premium,65-84,2035-08-01,251.62245691054744
part_b_premium,65-84,2035-09-01,252.28380551370557
part_b_premium,65-84,2035-10-01,252.94689236384005
part_b_premium,65-84,2035-11-01,253.6117220296496
part_b_premium,65-84,2035-12-01,254.2782990918411
part_b_premium,65-84,2036-01-01,254.94662814316106
part_b_premium,65-84,2036-02-01,255.6167137884272
part_b_premium,65-84,2036-03-01,256.28856064456033
part_b_premium,65-84,2036-04-01,256.9621733406161
part_b_premium,65-84,2036-05-01,257.63755651781685
part_b_premium,65-84,2036-06-01,258.3147148295836
part_b_premium,65-84,2036-07-01,258.99365294156803
part_b_premium,65-84,2036-08-01,259.674375531685
part_b_premium,65-84,2036-09-01,260.35688729014413
part_b_premium,65-84,2036-10-01,261.0411929194829
part_b_premium,65-84,2036-11-01,261.7272971345984
part_b_premium,65-84,2036-12-01,262.41520466278
part_b_premium,65-84,2037-01-01,263.10492024374224
part_b_premium,65-84,2037-02-01,263.7964486296569
part_b_premium,65-84,2037-03-01,264.4897945851863
part_b_premium,65-84,2037-04-01,265.18496288751584
part_b_premium,65-84,2037-05-01,265.881958326387
part_b_premium,65-84,2037-06-01,266.5807857041302
part_b_premium,65-84,2037-07-01,267.2814498356982
part_b_premium,65-84,2037-08-01,267.9839555486989
part_b_premium,65-84,2037-09-01,268.6883076834288
part_b_premium,65-84,2037-10-01,269.3945110929064
part_b_premium,65-84,2037-11-01,270.10257064290556
part_b_premium,65-84,2037-12-01,270.812491211989
part_b_premium,65-84,2038-01-01,271.52427769154195
part_b_premium,65-84,2038-02-01,272.2379349858059
part_b_premium,65-84,2038-03-01,272.95346801191226
part_b_premium,65-84,2038-04-01,273.6708816999164
part_b_premium,65-84,2038-05-01,274.3901809928314
part_b_premium,65-84,2038-06-01,275.1113708466624
part_b_premium,65-84,2038-07-01,275.83445623044054
part_b_premium,65-84,2038-08-01,276.5594421262573
part_b_premium,65-84,2038-09-01,277.2863335292985
part_b_premium,65-84,2038-10-01,278.0151354478794
part_b_premium,65-84,2038-11-01,278.7458529034785
part_b_premium,65-84,2038-12-01,279.47849093077264
part_b_premium,65-84,2039-01-01,280.21305457767136
part_b_premium,65-84,2039-02-01,280.9495489053517
part_b_premium,65-84,2039-03-01,281.6879789882934
part_b_premium,65-84,2039-04-01,282.42834991431374
part_b_premium,65-84,2039-05-01,283.170666784602
part_b_premium,65-84,2039-06-01,283.9149347137556
part_b_premium,65-84,2039-07-01,284.66115882981467
part_b_premium,65-84,2039-08-01,285.4093442742975
part_b_premium,65-84,2039-09-01,286.159496202236
